time	V(n007)
2,507849543615675e-002	1,000000e+000
2,507849569934215e-002	1,000000e+000
2,507849584932279e-002	1,000000e+000
2,507849593252812e-002	1,000000e+000
2,507849600935839e-002	1,000000e+000
2,507849607982490e-002	1,000000e+000
2,507849615543434e-002	1,000000e+000
2,507849622863721e-002	1,000000e+000
2,507849635554255e-002	1,000000e+000
2,507849651998718e-002	1,000000e+000
2,507849665287233e-002	0,000000e+000
2,507849673078228e-002	0,000000e+000
2,507849680902599e-002	0,000000e+000
2,507849690122332e-002	0,000000e+000
2,507849698952149e-002	0,000000e+000
2,507849706915835e-002	0,000000e+000
2,507849715083154e-002	0,000000e+000
2,507849728775528e-002	0,000000e+000
2,507849747839229e-002	0,000000e+000
2,507849778408415e-002	0,000000e+000
2,507849822733941e-002	0,000000e+000
2,507849902882384e-002	0,000000e+000
2,507850039160689e-002	0,000000e+000
2,507850303045965e-002	0,000000e+000
2,507850548373966e-002	0,000000e+000
2,507850825577267e-002	0,000000e+000
2,507851084236950e-002	0,000000e+000
2,507851404758267e-002	0,000000e+000
2,507851739664703e-002	0,000000e+000
2,507852155215594e-002	0,000000e+000
2,507852581441791e-002	0,000000e+000
2,507853112696696e-002	0,000000e+000
2,507853709712946e-002	0,000000e+000
2,507854505345017e-002	0,000000e+000
2,507855490884183e-002	0,000000e+000
2,507856932971400e-002	0,000000e+000
2,507859011405893e-002	0,000000e+000
2,507862789068829e-002	0,000000e+000
2,508138018797029e-002	0,000000e+000
2,508413248525228e-002	0,000000e+000
2,508688478253428e-002	0,000000e+000
2,508963707981628e-002	0,000000e+000
2,509238937709827e-002	0,000000e+000
2,509514167438027e-002	0,000000e+000
2,509789397166226e-002	0,000000e+000
2,511723560589496e-002	0,000000e+000
2,514653248089496e-002	0,000000e+000
2,517582935589496e-002	0,000000e+000
2,520512623089496e-002	0,000000e+000
2,523442310589497e-002	0,000000e+000
2,526371998089497e-002	0,000000e+000
2,529301685589497e-002	0,000000e+000
2,532231373089497e-002	0,000000e+000
2,535161060589497e-002	0,000000e+000
2,538090748089497e-002	0,000000e+000
2,541020435589497e-002	0,000000e+000
2,543950123089497e-002	0,000000e+000
2,546879810589497e-002	0,000000e+000
2,549809498089498e-002	0,000000e+000
2,552739185589498e-002	0,000000e+000
2,555668873089498e-002	0,000000e+000
2,558598560589498e-002	0,000000e+000
2,561528248089498e-002	0,000000e+000
2,567387623089498e-002	0,000000e+000
2,573246998089498e-002	0,000000e+000
2,582036060589499e-002	0,000000e+000
2,585384274875213e-002	0,000000e+000
2,588732489160928e-002	0,000000e+000
2,592080703446642e-002	0,000000e+000
2,595428917732356e-002	0,000000e+000
2,598777132018071e-002	0,000000e+000
2,602125346303785e-002	0,000000e+000
2,605473560589500e-002	0,000000e+000
2,608403248089500e-002	0,000000e+000
2,998051685589515e-002	0,000000e+000
3,000000000000000e-002	0,000000e+000
